date,day_of_week,month,is_weekday,file_count_AM_actual,file_count_PM_actual,total_records_AM_actual,total_records_PM_actual,file_count_AM_predicted,file_count_PM_predicted,total_records_AM_predicted,total_records_PM_predicted
2020-03-27,4,3,1,1.0,1.0,216551.0,5642.0,1.2023792746181845,1.3217505292970009,1290788.2105355083,1520954.3631533026
2020-03-28,5,3,0,1.0,1.0,5376.0,873126.0,1.0364325489232404,1.0,472738.03278459946,873126.0
2020-03-30,0,3,1,3.0,1.0,7163512.0,2663367.0,3.1497341765528732,2.149128205292369,6931032.794994012,4146330.836698226
2020-03-31,1,3,1,1.0,6.0,2930817.0,13069893.0,3.325203386757567,6.511290306155696,6556485.267121558,14862373.994127301
2020-04-01,2,4,1,3.0,1.0,4672137.0,186849.0,2.16640454148329,1.3427983538019586,3413693.568671203,1340376.0126062906
2020-04-02,3,4,1,1.0,1.0,84991.0,125078.0,1.1349717135524526,1.2466884300747407,590092.9436656552,830314.9068081721
2020-04-03,4,4,1,1.0,1.0,1166847.0,1276008.0,1.2668442473393673,1.0414634882244251,1449553.072852635,818282.2433271557
2020-04-04,5,4,0,1.0,1.0,352495.0,873126.0,1.05133371100858,1.0,648475.4717027387,873126.0
2020-04-06,0,4,1,5.0,3.0,12294186.0,6561652.0,3.372055034644494,2.150596159342112,7805721.332744011,3735038.6211141194
2020-04-07,1,4,1,2.0,7.0,3209540.0,16964735.0,3.3296852037818034,7.329804497845512,6508423.103233977,16898397.01516901
2020-04-08,2,4,1,1.0,3.0,2979515.0,3525247.0,2.16640454148329,1.3427983538019586,3413693.568671203,1340376.0126062906
2020-04-09,3,4,1,4.0,1.0,7378416.0,319946.0,1.1349717135524526,1.2466884300747407,590092.9436656552,830314.9068081721
2020-04-10,4,4,1,1.0,1.0,407621.0,60498.0,1.2668442473393673,1.0414634882244251,1449553.072852635,818282.2433271557
2020-04-11,5,4,0,1.0,1.0,241550.0,873126.0,1.05133371100858,1.0,648475.4717027387,873126.0
2020-04-13,0,4,1,3.0,2.0,6097449.0,3329196.0,3.372055034644494,2.150596159342112,7805721.332744011,3735038.6211141194
2020-04-14,1,4,1,1.0,7.0,779730.0,15582205.0,3.3296852037818034,7.329804497845512,6508423.103233977,16898397.01516901
2020-04-15,2,4,1,3.0,1.0,4809586.0,3436.0,2.16640454148329,1.3427983538019586,3413693.568671203,1340376.0126062906
2020-04-16,3,4,1,1.0,1.0,72253.0,86377.0,1.1349717135524526,1.2466884300747407,590092.9436656552,830314.9068081721
2020-04-17,4,4,1,1.0,1.0,727933.0,347231.0,1.2668442473393673,1.0414634882244251,1449553.072852635,818282.2433271557
2020-04-18,5,4,0,1.0,1.0,1762042.0,873126.0,1.05133371100858,1.0,648475.4717027387,873126.0
2020-04-20,0,4,1,3.0,8.0,6766260.0,17314353.0,3.372055034644494,2.150596159342112,7805721.332744011,3735038.6211141194
2020-04-21,1,4,1,1.0,6.0,1782471.0,14927904.0,3.3296852037818034,7.329804497845512,6508423.103233977,16898397.01516901
2020-04-22,2,4,1,5.0,1.0,8905887.0,754247.0,2.16640454148329,1.3427983538019586,3413693.568671203,1340376.0126062906
2020-04-23,3,4,1,1.0,1.0,37390.0,117030.0,1.1349717135524526,1.2466884300747407,590092.9436656552,830314.9068081721
2020-04-24,4,4,1,1.0,1.0,191671.0,152335.0,1.2668442473393673,1.0414634882244251,1449553.072852635,818282.2433271557
2020-04-25,5,4,0,1.0,1.0,9907.0,873126.0,1.05133371100858,1.0,648475.4717027387,873126.0
2020-04-27,0,4,1,2.0,1.0,4992510.0,1945409.0,3.372055034644494,2.150596159342112,7805721.332744011,3735038.6211141194
2020-04-28,1,4,1,1.0,6.0,1324111.0,14621735.0,3.3296852037818034,7.329804497845512,6508423.103233977,16898397.01516901
2020-04-29,2,4,1,1.0,1.0,1686772.0,35532.0,2.16640454148329,1.3427983538019586,3413693.568671203,1340376.0126062906
2020-04-30,3,4,1,1.0,1.0,1804560.0,305523.0,1.1349717135524526,1.2466884300747407,590092.9436656552,830314.9068081721
2020-05-01,4,5,1,1.0,1.0,497792.0,202726.0,1.2791783740454619,1.0843419938310073,1600121.4655762424,879466.9934976595
2020-05-02,5,5,0,1.0,1.0,47164.0,873126.0,1.533942785081731,1.0,1583361.3651001113,873126.0
2020-05-04,0,5,1,3.0,6.0,7064647.0,11348898.0,2.9661249350158996,2.401154704749137,6352149.676720597,4414681.945652489
2020-05-05,1,5,1,2.0,7.0,3423051.0,15362779.0,3.2788280801895597,6.832119011558352,7160979.389225019,15299098.057241034
2020-05-06,2,5,1,5.0,1.0,9328634.0,693038.0,2.5958256548334093,1.3657149954460996,4695122.851664262,1616711.4363980195
2020-05-07,3,5,1,1.0,1.0,163299.0,105465.0,1.7104873576507733,1.2060850488109884,2278446.704330945,1143322.2007105907
2020-05-08,4,5,1,1.0,1.0,379169.0,75008.0,1.2791783740454619,1.0843419938310073,1600121.4655762424,879466.9934976595
2020-05-09,5,5,0,1.0,1.0,20389.0,873126.0,1.533942785081731,1.0,1583361.3651001113,873126.0
2020-05-11,0,5,1,2.0,1.0,4836693.0,478883.0,2.9661249350158996,2.401154704749137,6352149.676720597,4414681.945652489
2020-05-12,1,5,1,2.0,7.0,4186808.0,15786443.0,3.2788280801895597,6.832119011558352,7160979.389225019,15299098.057241034
2020-05-13,2,5,1,1.0,1.0,1571928.0,7433.0,2.5958256548334093,1.3657149954460996,4695122.851664262,1616711.4363980195
2020-05-14,3,5,1,1.0,1.0,109628.0,56075.0,1.7104873576507733,1.2060850488109884,2278446.704330945,1143322.2007105907
